theta, sigma_x, sigma_y, tau_xy
   139.50000,     1.161892,     5.338108,     9.189794
   141.00000,     1.645711,     4.854289,     9.286482
   142.50000,     2.133926,     4.366074,     9.357718
   144.00000,     2.625201,     3.874799,     9.403304
   145.50000,     3.118188,     3.381812,     9.423117
   147.00000,     3.611537,     2.888463,     9.417101
   148.50000,     4.103894,     2.396106,     9.385274
   150.00000,     4.593911,     1.906089,     9.327722
   151.50000,     5.080245,     1.419755,     9.244604
   153.00000,     5.561561,     0.938439,     9.136147
   154.50000,     6.036543,     0.463457,     9.002649
   156.00000,     6.503886,    -0.003886,     8.844474
   157.50000,     6.962311,    -0.462311,     8.662058
   159.00000,     7.410560,    -0.910560,     8.455900
   160.50000,     7.847406,    -1.347406,     8.226564
   162.00000,     8.271650,    -1.771650,     7.974680
   163.50000,     8.682131,    -2.182131,     7.700939
   165.00000,     9.077722,    -2.577722,     7.406089
   166.50000,     9.457340,    -2.957340,     7.090940
   168.00000,     9.819945,    -3.319945,     6.756355
   169.50000,    10.164541,    -3.664541,     6.403251
   171.00000,    10.490185,    -3.990185,     6.032597
   172.50000,    10.795984,    -4.295984,     5.645407
   174.00000,    11.081101,    -4.581101,     5.242744
   175.50000,    11.344752,    -4.844752,     4.825711
   177.00000,    11.586217,    -5.086217,     4.395451
   178.50000,    11.804833,    -5.304833,     3.953143
   180.00000,    12.000000,    -5.500000,     3.500000
